MCCL,,,,,,,,,,Naïve,,,,,,,,,
hat_sd,,,,,sd,,,,,hat_sd,,,,,sd,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
0.065930528,0.029898337,0.033726254,0.116007637,0.775573903,-0.241399075,-0.289762092,-0.232233435,-0.266294551,6.068251286,0.058621993,0.027670492,0.024430346,0.095391549,0.444144688,-0.211104302,-0.173084846,-0.235621791,-0.385921289,4.021442263
0.06923088,0.030006955,0.035369909,0.109894398,0.678499318,-0.152342148,-0.199916541,-0.254927239,-0.446146057,5.526045585,0.057335192,0.028526428,0.025908049,0.097113603,0.461861426,-0.127888259,-0.168163164,-0.217763774,-0.41434562,4.569862893
0.064744323,0.031127582,0.035636456,0.105372141,0.640735993,-0.173022056,-0.221374525,-0.234692699,-0.417856483,5.185595005,0.055379236,0.027165606,0.025385029,0.092940959,0.596673604,-0.207335661,-0.180144635,-0.20505701,-0.406644995,4.497397342
0.070697816,0.038692071,0.040474082,0.138185889,0.633397123,-0.175110129,-0.24507576,-0.238207667,-0.398427227,4.738119505,0.062439978,0.027830757,0.028279762,0.100356909,0.464012727,-0.118628072,-0.179094247,-0.159278264,-0.547740342,3.902725403
0.066861836,0.034287116,0.039166981,0.129761585,0.752033162,-0.3263555,-0.265607153,-0.247751373,-0.131749347,5.766803327,0.063920067,0.033107335,0.024930089,0.100716975,0.471302135,-0.030021168,-0.129734085,-0.211226359,-0.747610291,3.991191797
0.076126695,0.03913057,0.040136021,0.128735155,0.69304842,-0.3056145,-0.299257921,-0.279414995,-0.11519129,4.230368753,0.060746386,0.02425516,0.02636949,0.09494992,0.554888341,-0.069345968,-0.171912549,-0.190650154,-0.508037984,5.217251337
0.055921992,0.031966484,0.027775801,0.093200646,0.71106659,-0.274691761,-0.214385193,-0.282730023,-0.25173622,5.155101578,0.057640862,0.026910255,0.023151543,0.094543917,0.491104134,-0.080429149,-0.166488214,-0.150454161,-0.5736966,4.563805856
0.065877073,0.032706288,0.032121389,0.111269881,0.869067877,-0.289074388,-0.216511613,-0.269698428,-0.249064672,5.746158174,0.055738705,0.027106544,0.02632541,0.097686753,0.526898201,-0.076144049,-0.156632171,-0.169271613,-0.654097321,5.120264486
0.070581818,0.046313343,0.031421744,0.130220196,0.740433806,-0.285001762,-0.272246098,-0.27613678,-0.119008779,6.005907128,0.063718307,0.025237248,0.025232431,0.095179594,0.589865155,-0.07321419,-0.201205209,-0.23197484,-0.477696325,4.888032015
0.057848787,0.035815613,0.031135211,0.097869549,0.720742114,-0.297359348,-0.312266859,-0.211625563,-0.187024134,5.446438155,0.060200092,0.031979893,0.027846801,0.100423498,0.410077942,-0.206100587,-0.235579794,-0.199249792,-0.439116575,3.897695949
0.075331572,0.033263912,0.042691976,0.132959272,0.653603936,-0.135475058,-0.190583182,-0.262456393,-0.404119999,5.236758788,0.072131575,0.028534606,0.030396273,0.111722309,0.430343348,-0.264617915,-0.220032465,-0.198828491,-0.391189766,3.411361555
0.067617851,0.03640719,0.033878853,0.109705765,0.813917948,-0.311002565,-0.227112443,-0.285831707,-0.1116286,4.453305587,0.061855903,0.025427551,0.023309067,0.095997376,0.469472441,-0.194183233,-0.200355803,-0.228806649,-0.354979318,4.089161831
0.072653023,0.037999784,0.045101342,0.138433633,0.755187421,-0.294377133,-0.294147533,-0.304371277,-0.142092381,4.96204125,0.06771674,0.024469728,0.026502107,0.101721128,0.414253102,-0.195893763,-0.188228661,-0.221575346,-0.452258141,4.085696044
0.055925696,0.033838877,0.030324265,0.10197258,0.786434734,-0.268219117,-0.287805267,-0.216236451,-0.143833727,5.488564596,0.066346189,0.024547464,0.030315817,0.103583302,0.510592236,-0.250870739,-0.237828607,-0.187287669,-0.338461947,4.573463074
0.079243094,0.039662691,0.040049779,0.144035627,0.670516292,-0.279571393,-0.183142098,-0.293474282,-0.258921475,4.563463268,0.050418771,0.025809455,0.021210193,0.087843916,0.715663329,-0.190863655,-0.17576175,-0.180533139,-0.420811722,5.166177993
0.071438476,0.035358044,0.036920136,0.126145335,0.650864746,-0.393711633,-0.339252033,-0.285983359,-0.099812297,4.313662103,0.05718384,0.024471068,0.030018047,0.097120074,0.536068306,-0.069517623,-0.207013594,-0.158891846,-0.626241539,4.577105343
0.06839842,0.032741835,0.035716327,0.11528486,0.624202816,-0.38090274,-0.219757117,-0.327197991,-0.041291417,4.943770153,0.057870842,0.026025645,0.026374746,0.091143769,0.531265758,-0.086847518,-0.190278492,-0.182728984,-0.50918828,5.045812799
0.054806911,0.026525904,0.03588892,0.104931754,0.64632563,-0.183260106,-0.221382796,-0.234797106,-0.306813167,4.996059915,0.048524826,0.02459578,0.025243476,0.078852071,0.589471979,0.022064207,-0.165479363,-0.23819334,-0.674271297,5.602153591
0.077378556,0.046254933,0.037167448,0.154026639,0.624306906,-0.314055682,-0.30081962,-0.261978235,-0.08503278,4.382646963,0.060336332,0.024963244,0.029318348,0.09611023,0.647124002,-0.086707898,-0.184766379,-0.200274099,-0.456054285,4.826050612
0.068539255,0.035132378,0.040419747,0.11925615,0.76732393,-0.280093342,-0.2185236,-0.319389892,-0.246458251,5.703981457,0.064077145,0.030542312,0.036880227,0.117544519,0.639226527,-0.180230926,-0.181499898,-0.220841966,-0.352359272,4.091348491
0.068375463,0.036125371,0.037432065,0.12382612,0.795609172,-0.175034946,-0.23160831,-0.234385764,-0.279930699,6.038989013,0.065717831,0.024586468,0.027589591,0.105287734,0.604672934,-0.124376779,-0.252817864,-0.178516747,-0.459232613,4.972743432
0.059217537,0.029382362,0.02998137,0.097791098,0.803887036,-0.22090973,-0.222335221,-0.26375706,-0.281914995,5.684317339,0.065303558,0.028548178,0.029528168,0.109162475,0.504196948,-0.139988969,-0.230924678,-0.188513865,-0.493161557,4.078309023
0.061995371,0.038011571,0.029626019,0.116402854,0.825099184,-0.143665841,-0.197367713,-0.275567714,-0.305671724,6.067636341,0.068400508,0.026562801,0.028483336,0.11187407,0.477349355,-0.209907349,-0.172070924,-0.221939888,-0.414452473,4.192506419
0.076080569,0.037533116,0.034281235,0.137204978,0.862700303,-0.361136481,-0.304669849,-0.279052946,-0.056422779,5.836832491,0.065552747,0.02790683,0.022217584,0.094082138,0.476295881,-0.190678709,-0.192457969,-0.224427595,-0.527106284,4.167252437
0.087698634,0.042430581,0.035422948,0.146454431,0.652503108,-0.309313043,-0.296636424,-0.228671795,-0.121732938,4.254282771,0.069997124,0.028118005,0.031032236,0.113114937,0.468186901,-0.261357314,-0.249031221,-0.178864657,-0.332687561,3.931559833
0.071562691,0.042726881,0.03214803,0.127476443,0.733618345,-0.228830967,-0.227963265,-0.300474516,-0.14174261,5.335989496,0.064939298,0.025229325,0.02902736,0.104963847,0.469416219,-0.266372467,-0.240829278,-0.170025216,-0.391076053,4.141529038
0.070015339,0.029811202,0.036660741,0.118457427,0.658503205,-0.163542208,-0.257710478,-0.231336625,-0.338454389,5.485266421,0.051492041,0.026677453,0.023764192,0.081591319,0.518635732,-0.099084279,-0.188295858,-0.193680902,-0.459439855,4.500835537
0.067873358,0.049377302,0.037546273,0.131667889,0.705125288,-0.309960284,-0.279683522,-0.231410696,-0.225268498,4.919636069,0.058800227,0.026053491,0.024770075,0.09544807,0.486624662,-0.138335047,-0.142203027,-0.188960528,-0.522275593,4.749893931
0.073285051,0.041158177,0.033146428,0.131974453,0.658259835,-0.380622861,-0.309001876,-0.268533787,-0.044177201,4.967172083,0.061064502,0.026532018,0.027045279,0.100985553,0.607264281,-0.133846863,-0.224296946,-0.195193647,-0.478961135,4.747390777
0.068305867,0.039693684,0.041542398,0.118030212,0.463544641,-0.422965361,-0.278746458,-0.219972699,-0.170463178,3.53787586,0.071077853,0.025562227,0.034659321,0.109232578,0.514053863,-0.143837576,-0.233973022,-0.131270956,-0.455785342,4.272919784
0.073834144,0.040663605,0.041303783,0.142131282,0.640173358,-0.240126536,-0.230184244,-0.298239966,-0.205411178,5.128063446,0.064340286,0.028996169,0.028161234,0.107134117,0.467629822,-0.188981434,-0.170109098,-0.220740918,-0.553568937,3.87651474
0.062914036,0.037533347,0.035804343,0.11157006,0.689058291,-0.19783218,-0.212788523,-0.275310748,-0.334955492,4.892920743,0.064335034,0.028360285,0.023759144,0.08875815,0.457733121,-0.273983146,-0.243732673,-0.222917129,-0.301859959,3.975356011
0.054010969,0.034271027,0.031003316,0.097354378,0.825198306,-0.241819593,-0.279810706,-0.237127495,-0.204349739,5.932549446,0.063317703,0.021752362,0.02873001,0.097697558,0.43196938,-0.226010486,-0.207129898,-0.224649383,-0.368465362,4.132942493
0.070098513,0.045584786,0.028227165,0.132022169,0.569987936,-0.197046616,-0.232543672,-0.171722548,-0.434192092,4.608379648,0.063861813,0.033293142,0.028625301,0.106108903,0.500232551,-0.205361757,-0.215651,-0.236325775,-0.379183293,3.940473365
0.063969948,0.031141543,0.036933222,0.111461542,0.636023697,-0.274153775,-0.259177349,-0.24952095,-0.249978423,4.969756093,0.056687538,0.025617866,0.02580448,0.097214879,0.559657892,-0.255426943,-0.2575301,-0.206346429,-0.292502958,4.442346771
0.07346338,0.037794645,0.044147658,0.134165632,0.568925817,-0.211442933,-0.245602673,-0.254097676,-0.345722902,4.632926308,0.062896297,0.025129077,0.029322869,0.103593713,0.556657198,-0.138812337,-0.2051492,-0.17640183,-0.527302199,4.790478273
