MCCL1,,,,,MCCL2,,,,,Naive,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.095434897,-0.133875303,-0.301149528,-0.298785878,4.9950097240419,-0.141946656,-0.226400887,-0.198674523,-0.475944107,5.19905520867693,0.0770836112017386,-0.148666669,-0.14114833,-0.920924823,5.45896739426977
-0.175953321,-0.220003192,-0.14309725,-0.406571989,5.52148214922375,-0.353799126,-0.129097849,-0.3128569,-0.232835909,6.26024594982975,-0.148060496,-0.258952178,-0.211118395,-0.432237657,5.67081312530275
-0.441358186,-0.256855082,-0.386896195,-0.178449028,4.64378670773959,-0.097306647,-0.187417446,-0.204342729,-1.014984202,5.51495662963565,-0.435289443,-0.247284935,-0.352616482,-0.247709194,5.91251144022549
-0.515601354,-0.272741773,-0.334955727,-0.148440957,5.66708958826267,0.0755229173625707,-0.082526847,-0.134417942,-0.635210095,4.99707096280761,-0.320700803,-0.302203525,-0.229879643,-0.111568569,5.36600052815209
-0.05951172,-0.162422464,-0.198927811,-0.593611348,4.8240920629998,-0.336800929,-0.219760407,-0.241118604,-0.217723519,4.75104161517397,-0.291430185,-0.21536423,-0.235720038,-0.084783979,5.09787033536118
-0.460324662,-0.257061656,-0.310758375,-0.185994169,5.61941114962406,-0.833553825,-0.569397295,-0.340599768,0.614324188154039,5.01399371187248,-0.39004511,-0.360112542,-0.18940393,-0.152450859,5.64859505963692
-0.141512726,-0.27663692,-0.170934222,-0.585852683,5.18954256446274,-0.162491208,-0.235673966,-0.195274008,-0.401094304,4.45030782725115,-0.466379998,-0.360817566,-0.240723477,0.253588658357349,4.76395755267795
-0.28203091,-0.350625415,-0.141281832,-0.284444464,5.90591658817167,-0.415045003,-0.400635747,-0.212836229,-0.09162132,4.55876476162794,-0.390370291,-0.29688754,-0.278025773,-0.19797963,5.8886366383136
-0.393204875,-0.275749535,-0.356734191,-0.121243873,4.9110235471038,-0.196379356,-0.156899489,-0.239486873,-0.338205412,4.5346021865663,-0.339823626,-0.337076933,-0.2685412,-0.23047051,4.91675529585285
-0.303349265,-0.20915309,-0.268825927,-0.285700908,5.75335061240333,-0.309275813,-0.312513358,-0.305176251,-0.143730647,5.90956123032492,-0.646272497,-0.275362201,-0.399063087,0.124657622639035,5.66683781287025
-0.195816874,-0.214160802,-0.225782104,-0.248033651,4.5193426063827,-0.279006208,-0.317490819,-0.277926538,-0.138109669,4.17179635555598,-0.326039112,-0.392469324,-0.233249826,-0.087087698,5.10827938123253
-0.136955264,-0.249178637,-0.136715034,-0.403483228,5.62141029362734,-0.095989738,-0.249795097,-0.173439369,-0.452884891,5.42599371589318,-0.294247869,-0.275047859,-0.22032316,-0.244107272,4.5973554024087
-0.288820764,-0.238545636,-0.202545877,-0.344957436,5.26496212551765,-0.483920574,-0.30088304,-0.381478509,-0.106745708,6.18362700265472,0.0775058009767323,-0.214151965,-0.147466548,-0.511348255,4.30114428746452
-0.452681002,-0.205817939,-0.323691488,-0.171650934,5.26982884715133,-0.037641772,-0.204669573,-0.168815136,-0.651785533,5.45033005395526,-0.022880203,-0.177577876,-0.299499127,-0.378325933,3.86044640935687
-0.277847018,-0.263399715,-0.295961039,-0.012915871,4.62538395911446,-0.426989147,-0.24539393,-0.322446712,-0.030598212,7.39959328119573,-0.051048196,-0.176240079,-0.280973165,-0.493641748,3.97178960904469
-0.199355797,-0.216697116,-0.282185886,-0.08762173,4.82373943819089,0.0565041451165952,-0.147716407,-0.133555146,-0.958254385,4.65821196496406,-0.516255128,-0.315214537,-0.248336732,0.0700994311974776,5.44806065414174
-0.319570441,-0.237178195,-0.359313691,-0.007985085,4.06390388449664,-0.443141749,-0.362543621,-0.217061204,-0.028512679,5.87417345569635,-0.167933424,-0.202868451,-0.26809821,-0.157421988,4.41122927664477
-0.138022787,-0.268903872,-0.186962169,-0.411657458,4.87040375328015,-0.321249787,-0.338273186,-0.229308202,-0.127462273,5.74475014776119,-0.184348853,-0.193007217,-0.199809532,-0.447295596,5.69173975367028
-0.311071178,-0.300171084,-0.275682594,-0.00947591,4.97042766806175,-0.330043303,-0.294854802,-0.280416806,0.0165443899990817,5.00339471615356,-0.009556191,-0.162225002,-0.178232627,-0.427949777,4.03051425639063
0.111113872197426,-0.196837783,-0.101844239,-0.731356384,4.59607707401458,-0.161606756,-0.169907424,-0.296315529,-0.357153533,4.97430712458694,-0.396902194,-0.265915467,-0.35408503,0.090559874814322,5.21526468437361
-0.372308383,-0.311903405,-0.318557147,-0.039122427,4.94648562384102,-0.330140609,-0.260774268,-0.233640448,-0.193556969,6.14264232012029,-0.136743925,-0.197550182,-0.187532999,-0.55171501,5.10097324112901
-0.102273731,-0.205788635,-0.238920997,-0.632740116,6.41740034144709,-0.163581181,-0.23012333,-0.279084381,-0.285378426,4.28892032885103,-0.239264784,-0.214306577,-0.275158692,-0.084914903,4.84426349832382
-0.171330729,-0.264162976,-0.167623662,-0.16536317,5.56662625785351,-0.597515886,-0.268429479,-0.568700197,0.313386698957874,4.8324756149177,-0.294784883,-0.247984514,-0.205292105,-0.061618466,5.44663683842532
-0.298228374,-0.180679857,-0.212766984,-0.352692489,5.85852106900907,-0.083003788,-0.158973642,-0.181032756,-0.285821473,4.94451056637438,-0.159126765,-0.138056467,-0.247673169,-0.528686126,4.57517686800893
