MCCL1,,,,,MCCL2,,,,,Naïve,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.170074741,-0.235800897,-0.207673018,-0.351177293,5.235948132,-0.348127137,-0.28641636,-0.239520264,-0.160030534,4.268399297,-0.287176171,-0.279816093,-0.205845512,-0.297297689,5.697271866
-0.178193958,-0.239993797,-0.196261802,-0.469484737,5.414414816,-0.233220861,-0.25537021,-0.217326348,-0.335305952,5.546345382,-0.267501723,-0.298354845,-0.244027594,-0.10861958,5.332301357
-0.209416025,-0.243991941,-0.263404718,-0.233639369,6.267410362,-0.143431478,-0.213080557,-0.202196085,-0.431550361,5.033716106,-0.241011347,-0.253632555,-0.261729659,-0.222147807,4.883272903
-0.144425336,-0.223568221,-0.23568967,-0.411488621,5.778348486,-0.170055086,-0.287559138,-0.209856877,-0.246714075,4.670847631,-0.255937284,-0.208020166,-0.232379517,-0.304367894,4.629144527
-0.237554846,-0.225216243,-0.280786839,-0.314760211,4.815641707,-0.237612776,-0.214685721,-0.287687834,-0.226557868,5.318583031,-0.259353066,-0.273912523,-0.235916325,-0.214546274,4.133241313
-0.212801862,-0.273391119,-0.221948488,-0.355993368,4.884288262,-0.27548929,-0.22796858,-0.26924461,-0.107806322,5.340167816,-0.238370273,-0.247105129,-0.199838329,-0.386485204,4.233474699
-0.221465869,-0.244790374,-0.266339373,-0.283506548,5.169127419,-0.154435698,-0.188323321,-0.270473346,-0.389125787,5.296784925,-0.252805172,-0.225138184,-0.278846511,-0.274124811,3.865369646
-0.189575623,-0.251675021,-0.196596364,-0.332201423,5.399943789,-0.311194187,-0.273635048,-0.289162254,-0.188183081,5.472763983,-0.24378517,-0.211695578,-0.28185025,-0.244192227,5.268739358
-0.327904435,-0.283960485,-0.282991139,-0.132057644,5.845102652,-0.318403136,-0.317771486,-0.219848967,-0.106323554,5.672599678,-0.077720948,-0.233866749,-0.181015998,-0.489127668,4.480249208
-0.217286113,-0.241728209,-0.218681324,-0.342354673,5.043570206,-0.245212342,-0.282918671,-0.238194527,-0.136106635,6.01852093,-0.232518226,-0.185156877,-0.232345349,-0.305240633,4.318644237
-0.17402378,-0.268224581,-0.247118962,-0.340472853,6.515912629,-0.338892004,-0.249676944,-0.263066432,-0.098049001,4.057824388,-0.171430266,-0.199448476,-0.223912795,-0.393387027,5.46452903
-0.175359462,-0.186871876,-0.274184726,-0.325640476,6.54163338,-0.231372704,-0.257857561,-0.289783456,-0.188673248,6.543973998,-0.177312738,-0.193372336,-0.254453399,-0.453464834,5.184448702
-0.404166923,-0.293479099,-0.277650639,-0.030706927,5.879757254,-0.23080603,-0.270206726,-0.233696239,-0.280750549,5.417949071,-0.138913691,-0.22225324,-0.245954986,-0.31924503,5.32034989
-0.116752485,-0.236659798,-0.191464755,-0.466375842,5.646950033,-0.2867617,-0.269906047,-0.245092801,-0.241027115,4.479181834,-0.183257117,-0.208725362,-0.186430372,-0.429476101,4.481054221
-0.22673731,-0.277337541,-0.264652548,-0.222651557,5.058611586,-0.297989066,-0.282680443,-0.261466338,-0.304963824,4.306894924,-0.215453088,-0.201469414,-0.226843823,-0.334520475,4.430580384
-0.169658904,-0.240277775,-0.239329937,-0.359856577,5.438294939,-0.207859948,-0.230864402,-0.247812747,-0.281504709,4.676385704,-0.169446631,-0.256490428,-0.201174759,-0.366561157,5.017968598
-0.309383719,-0.232704521,-0.232347737,-0.205831061,4.103364067,-0.229001688,-0.211504973,-0.282705963,-0.215827285,7.415137257,-0.097360299,-0.218769942,-0.208227951,-0.478505135,5.94143652
-0.22143329,-0.285350865,-0.268179495,-0.165091787,5.892202011,-0.309621113,-0.291543269,-0.261634066,-0.047898271,7.005022086,-0.225069998,-0.23338325,-0.235187824,-0.320980892,5.542157748
-0.30000278,-0.260288566,-0.303274191,-0.168710548,5.063990229,-0.236038353,-0.268829241,-0.223804387,-0.257482514,5.254851652,-0.087250009,-0.190694023,-0.205633878,-0.438536388,5.574839305
-0.27545496,-0.23237734,-0.270561276,-0.318902585,4.428191667,-0.147499549,-0.1715763,-0.264301511,-0.385120873,5.255082874,-0.228149406,-0.276838514,-0.231553474,-0.300911213,4.448386503
-0.175236741,-0.229710733,-0.232187924,-0.292757819,5.772174752,-0.17855242,-0.181826979,-0.239607467,-0.440670985,4.530092118,-0.283013961,-0.193348167,-0.248780993,-0.318772129,5.069453996
-0.262215814,-0.264060147,-0.216810676,-0.306689589,4.630630387,-0.241207915,-0.245604252,-0.265322021,-0.272157496,5.414418503,-0.253025751,-0.195098482,-0.279571272,-0.238511696,4.79127363
-0.301291016,-0.286429106,-0.241019755,-0.15136072,6.016356253,-0.236054756,-0.311193568,-0.269035562,-0.167084005,5.334855404,-0.137149529,-0.230175636,-0.21465712,-0.406501441,5.086016969
-0.182240226,-0.248400403,-0.157917689,-0.405960227,5.838058167,-0.25595535,-0.260850658,-0.233310409,-0.266625684,4.872259021,-0.27731977,-0.247775287,-0.25917564,-0.254117447,5.230595941
-0.193541742,-0.24534646,-0.228311606,-0.225821362,6.449238636,-0.298298199,-0.256977913,-0.287452123,-0.233896463,5.416920119,-0.288241174,-0.239234505,-0.227909527,-0.253711883,4.556422105
-0.231790919,-0.286954469,-0.236462637,-0.155813852,6.744926493,-0.199392818,-0.255298051,-0.226397414,-0.262317884,6.018640854,-0.175744805,-0.225303597,-0.203326204,-0.38498083,5.031194711
-0.220479012,-0.238573751,-0.242649642,-0.205411524,4.998411819,-0.301707699,-0.29151547,-0.218212292,-0.179824991,5.086612077,-0.141917064,-0.242907875,-0.205995097,-0.397270665,5.018065765
-0.244966439,-0.232056653,-0.259891474,-0.192038347,5.136580642,-0.251471444,-0.28055962,-0.182204136,-0.330437085,4.601742524,-0.218691463,-0.218220598,-0.241599774,-0.31607268,4.363687511
-0.217808709,-0.248900099,-0.295663679,-0.188276715,5.663441642,-0.314735062,-0.270582799,-0.283337108,-0.075809149,4.78456056,-0.234263823,-0.221534323,-0.253022844,-0.301043138,4.414580586
-0.260402716,-0.298778111,-0.263531188,-0.180669712,5.201012385,-0.214144997,-0.242147241,-0.21947259,-0.323254419,4.38377116,-0.357723594,-0.254058559,-0.271777239,-0.119754612,4.748583138
-0.219251794,-0.269963249,-0.253142571,-0.180545483,4.968398254,-0.355637595,-0.246191145,-0.325861804,-0.101723498,5.004098016,-0.27713985,-0.220379156,-0.2782661,-0.190786903,5.001739177
-0.304424747,-0.259701158,-0.261175542,-0.142786214,4.6471928,-0.198769883,-0.257454827,-0.227591927,-0.318181205,4.688972814,-0.225472118,-0.243902482,-0.247977841,-0.250579003,5.787225646
-0.259151182,-0.221874007,-0.274765878,-0.2408436,4.734864198,-0.210826904,-0.220274617,-0.234455686,-0.347894705,5.894299232,-0.264025048,-0.250700635,-0.255624137,-0.251761519,4.970068489
